country_code,country_name,region,income_level,capital_city,longitude,latitude
332,Haiti,Latin America & Caribbean ,Lower middle income,Port-au-Prince,-72.3288,18.5392
504,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Rabat,-6.8704,33.9905
788,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Tunis,10.21,36.7899
586,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Islamabad,72.8,30.5167
262,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Djibouti,43.1425,11.5806
422,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Beirut,35.5134,33.8872
400,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Amman,35.9263,31.9497
64,Bhutan,South Asia,Lower middle income,Thimphu,89.6177,27.5768
50,Bangladesh,South Asia,Lower middle income,Dhaka,90.4113,23.7055
524,Nepal,South Asia,Lower middle income,Kathmandu,85.3157,27.6939
144,Sri Lanka,South Asia,Lower middle income,Colombo,79.8528,6.92148
356,India,South Asia,Lower middle income,New Delhi,77.225,28.6353
686,Senegal,Sub-Saharan Africa ,Lower middle income,Dakar,-17.4734,14.7247
478,Mauritania,Sub-Saharan Africa ,Lower middle income,Nouakchott,-15.9824,18.2367
324,Guinea,Sub-Saharan Africa ,Lower middle income,Conakry,-13.7,9.51667
716,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Harare,31.0672,-17.8312
174,Comoros,Sub-Saharan Africa ,Lower middle income,Moroni,43.2418,-11.6986
894,Zambia,Sub-Saharan Africa ,Lower middle income,Lusaka,28.2937,-15.3982
566,Nigeria,Sub-Saharan Africa ,Lower middle income,Abuja,7.48906,9.05804
748,Eswatini,Sub-Saharan Africa ,Lower middle income,Mbabane,31.4659,-26.5225
426,Lesotho,Sub-Saharan Africa ,Lower middle income,Maseru,27.7167,-29.5208
516,Namibia,Sub-Saharan Africa ,Lower middle income,Windhoek,17.0931,-22.5648
120,Cameroon,Sub-Saharan Africa ,Lower middle income,Yaounde,11.5174,3.8721
678,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,Sao Tome,6.6071,0.20618
24,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,13.242,-8.81155
204,Benin,Sub-Saharan Africa ,Lower middle income,Porto-Novo,2.6323,6.4779
288,Ghana,Sub-Saharan Africa ,Lower middle income,Accra,-0.20795,5.57045
404,Kenya,Sub-Saharan Africa ,Lower middle income,Nairobi,36.8126,-1.27975
231,Ethiopia,Sub-Saharan Africa ,Not classified,Addis Ababa,38.7468,9.02274
670,Saint Vincent and the Grenadines,Unknown,Unknown,,,
99022,"FAO Major Fishing Area: Pacific, Southwest",Unknown,Unknown,,,
99055,Large Marine Ecosystem: Gulf of Mexico,Unknown,Unknown,,,
99065,Large Marine Ecosystem: South Brazil Shelf,Unknown,Unknown,,,
99078,Large Marine Ecosystem: Guinea Current,Unknown,Unknown,,,
99085,Large Marine Ecosystem: Gulf of Thailand,Unknown,Unknown,,,
818,Egypt,Unknown,Unknown,,,
530,Netherlands Antilles  [former],Unknown,Unknown,,,
275,State of Palestine,Unknown,Unknown,,,
918,European Union (EU) Institutions,Unknown,Unknown,,,
99031,"FAO Major Fishing Area: Pacific, Southeast",Unknown,Unknown,,,
99040,Residual/unallocated ODA: Western Asia and Northern Africa,Unknown,Unknown,,,
836,United Republic of Tanzania (Zanzibar),Unknown,Unknown,,,
99052,Large Marine Ecosystem: Gulf of Alaska,Unknown,Unknown,,,
474,Martinique,Unknown,Unknown,,,
703,Slovakia,Unknown,Unknown,,,
5,South America,Unknown,Unknown,,,
57,Micronesia,Unknown,Unknown,,,
432,Landlocked developing countries (LLDCs),Unknown,Unknown,,,
